No,Date,LOCO_SPEED,gps_latitude,gps_longitude
445,00:07:24,5,39.3877,38.1129
446,00:07:25,5,39.3877,38.1129
447,00:07:26,5,39.3877,38.1129
448,00:07:27,5,39.3877,38.1129
449,00:07:28,5,39.3877,38.1129
450,00:07:29,5,39.3876,38.1129
451,00:07:30,4,39.3876,38.1129
452,00:07:31,4,39.3876,38.1129
453,00:07:32,4,39.3876,38.1129
454,00:07:33,4,39.3876,38.1129
455,00:07:34,4,39.3876,38.1129
456,00:07:35,4,39.3876,38.1129
457,00:07:36,4,39.3876,38.1129
458,00:07:37,4,39.3876,38.1129
459,00:07:38,4,39.3876,38.1129
460,00:07:39,4,39.3875,38.1129
461,00:07:40,4,39.3875,38.1129
462,00:07:41,4,39.3875,38.1129
463,00:07:42,4,0,0
464,00:07:43,4,39.3875,38.1129
465,00:07:44,4,39.3875,38.1129
466,00:07:45,4,39.3875,38.1129
467,00:07:46,4,39.3875,38.1129
468,00:07:47,4,39.3875,38.1129
469,00:07:48,4,39.3875,38.1129
470,00:07:49,5,39.3875,38.1129
471,00:07:50,5,39.3874,38.1129
472,00:07:51,5,39.3874,38.1129
473,00:07:52,5,39.3874,38.1129
474,00:07:53,5,39.3874,38.1129
475,00:07:54,5,39.3874,38.1129
476,00:07:55,5,39.3873,38.1129
477,00:07:56,5,39.3873,38.1129
478,00:07:57,5,39.3873,38.1129
479,00:07:58,5,39.3873,38.1129
480,00:07:59,5,39.3873,38.1129
481,00:08:00,5,39.3873,38.1129
482,00:08:01,5,39.3873,38.1129
483,00:08:02,5,39.3873,38.1129
484,00:08:03,5,39.3873,38.1129
485,00:08:04,5,39.3872,38.1129
486,00:08:05,4,39.3872,38.1129
487,00:08:06,4,39.3872,38.1129
488,00:08:07,4,39.3872,38.1129
489,00:08:08,4,39.3872,38.1129
490,00:08:09,4,39.3871,38.1129
491,00:08:10,4,39.3871,38.1129
492,00:08:11,4,39.3871,38.1129
493,00:08:12,4,39.3871,38.1129
494,00:08:13,4,39.3871,38.1129
495,00:08:14,4,39.3871,38.113
496,00:08:15,5,39.3871,38.113
497,00:08:16,5,39.3871,38.113
498,00:08:17,5,39.3871,38.113
499,00:08:18,5,39.3871,38.113
500,00:08:19,5,39.387,38.113
501,00:08:20,5,39.387,38.113
502,00:08:21,5,39.387,38.113
503,00:08:22,5,39.387,38.113
504,00:08:23,5,39.387,38.113
505,00:08:24,5,39.3869,38.113
506,00:08:25,5,39.3869,38.113
507,00:08:26,5,39.3869,38.113
508,00:08:27,5,39.3869,38.113
509,00:08:28,5,39.3869,38.113
510,00:08:29,5,39.3869,38.113
511,00:08:30,5,39.3869,38.113
512,00:08:31,5,39.3869,38.113
513,00:08:32,5,39.3869,38.113
514,00:08:33,4,39.3869,38.113
515,00:08:34,4,39.3868,38.113
516,00:08:35,4,39.3868,38.113
517,00:08:36,3,39.3868,38.113
518,00:08:37,3,39.3868,38.113
519,00:08:38,3,39.3868,38.113
520,00:08:39,3,39.3868,38.113
521,00:08:40,3,39.3868,38.113
522,00:08:41,3,39.3868,38.113
523,00:08:42,3,39.3868,38.113
524,00:08:43,3,39.3868,38.113
525,00:08:44,3,39.3867,38.1131
526,00:08:45,2,39.3867,38.1131
527,00:08:46,2,39.3867,38.1131
528,00:08:47,2,39.3867,38.1131
529,00:08:48,0,39.3867,38.1131
530,00:08:49,0,39.3867,38.1131
531,00:08:50,0,39.3867,38.1131
532,00:08:51,0,39.3867,38.1131
533,00:08:52,0,39.3867,38.1131
534,00:08:53,0,39.3867,38.1131
535,00:08:54,0,39.3867,38.1131
536,00:08:55,0,39.3867,38.1131
537,00:08:56,0,39.3867,38.1131
538,00:08:57,0,39.3867,38.1131
539,00:08:58,0,39.3867,38.1131
540,00:08:59,0,39.3867,38.1131
541,00:09:00,0,39.3867,38.1131
542,00:09:01,0,39.3867,38.1131
543,00:09:02,0,39.3867,38.1131
544,00:09:03,0,39.3867,38.1131
545,00:09:04,0,39.3867,38.1131
546,00:09:05,0,39.3867,38.1131
547,00:09:06,0,39.3867,38.1131
548,00:09:07,0,39.3867,38.1131
549,00:09:08,0,39.3867,38.1131
550,00:09:09,0,39.3867,38.1131
551,00:09:10,0,39.3867,38.1131
552,00:09:11,0,39.3867,38.1131
553,00:09:12,0,39.3867,38.1131
554,00:09:13,0,39.3867,38.1131
555,00:09:14,0,39.3867,38.1131
556,00:09:15,0,39.3867,38.1131
557,00:09:16,0,39.3867,38.1131
558,00:09:17,0,39.3867,38.1131
559,00:09:18,0,39.3867,38.1131
560,00:09:19,0,39.3867,38.1131
561,00:09:20,0,39.3867,38.1131
562,00:09:21,0,39.3867,38.1131
563,00:09:22,0,39.3867,38.1131
564,00:09:23,0,39.3867,38.1131
565,00:09:24,0,39.3867,38.1131
566,00:09:25,0,39.3867,38.1131
567,00:09:26,0,39.3867,38.1131
568,00:09:27,0,39.3867,38.1131
569,00:09:28,0,39.3867,38.1131
570,00:09:29,0,39.3867,38.1131
571,00:09:30,0,39.3867,38.1131
572,00:09:31,0,39.3867,38.1131
573,00:09:32,0,39.3867,38.1131
574,00:09:33,0,39.3867,38.1131
575,00:09:34,0,0,0
576,00:09:35,0,39.3867,38.1131
577,00:09:36,0,39.3867,38.1131
578,00:09:37,0,39.3867,38.1131
579,00:09:38,0,39.3867,38.1131
580,00:09:39,0,39.3867,38.1131
581,00:09:40,0,39.3867,38.1131
582,00:09:41,0,39.3867,38.1131
583,00:09:42,0,39.3867,38.1131
584,00:09:43,0,39.3867,38.1131
585,00:09:44,0,39.3867,38.1131
586,00:09:45,0,39.3867,38.1131
587,00:09:46,0,39.3867,38.1131
588,00:09:47,0,39.3867,38.1131
589,00:09:48,0,39.3867,38.1131
590,00:09:49,0,39.3867,38.1131
591,00:09:50,0,39.3867,38.1131
592,00:09:51,0,39.3867,38.1131
593,00:09:52,0,39.3867,38.1131
594,00:09:53,0,39.3867,38.1131
595,00:09:54,0,39.3867,38.1131
596,00:09:55,0,39.3867,38.1131
597,00:09:56,0,39.3867,38.1131
598,00:09:57,0,39.3867,38.1131
599,00:09:58,0,39.3867,38.1131
600,00:09:59,0,39.3867,38.1131
601,00:10:00,0,39.3867,38.1131
602,00:10:01,0,39.3867,38.1131
